TreeID,qSpecies,qLegalStatus,PlantDate,DBH,Latitude,Longitude
202002, London Plane,DPW Maintained,,4,37.72303938,-122.3981014
220483, Red Maple,DPW Maintained,,2,37.75239545,-122.4146973
123284, Red Ironbark,DPW Maintained,,20,37.78015199,-122.4641458
224156, River Red Gum,DPW Maintained,,24,37.73844488,-122.4243084
133580, London Plane,DPW Maintained,,8,37.791052,-122.451467
205353, Dracena Palm,DPW Maintained,,9,37.74006632,-122.4685339
217857, Cherry Plum,DPW Maintained,,5,37.76346939,-122.4542067
212485, Cherry Plum,DPW Maintained,,4,37.74785568,-122.4625385
70682, Jacaranda,DPW Maintained,,8,37.76420603,-122.4064976
222948, Red Flowering Gum,DPW Maintained,,22,37.77007285,-122.4309194
122872, Small-leaf Tristania 'Elegant',DPW Maintained,,1,37.71305472,-122.4505247
226320, Jacaranda,DPW Maintained,,6,37.75231593,-122.4108646
120030, Victorian Box,DPW Maintained,,9,37.77248638,-122.4882967
244289, Ornamental Pear,DPW Maintained,,3,37.77404386,-122.4241938
72442, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,6,37.78959419,-122.4102896
9218, Lemon Bottlebrush,DPW Maintained,,3,37.78000136,-122.4872622
250424, New Zealand Xmas Tree,DPW Maintained,,16,37.78895714,-122.4859748
193155, Southern Magnolia,DPW Maintained,,3,37.78696711,-122.3958714
242652, Chinese Elm,DPW Maintained,,3,37.7557398,-122.414754
227553, Primrose Tree,DPW Maintained,,7,37.76057274,-122.4391732
184374, Karo Tree,DPW Maintained,,3,37.74391061,-122.5036118
225318, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,17,37.76973265,-122.4300587
226781, Jacaranda,DPW Maintained,,7,37.76165652,-122.4307285
222922, Carob,DPW Maintained,,15,37.76556263,-122.4476434
193286, Southern Magnolia,DPW Maintained,,1,37.7323563,-122.3801837
22459, Olive Tree,DPW Maintained,,3,37.72346338,-122.3953133
138667, Southern Magnolia,DPW Maintained,,12,37.7868166,-122.4453794
185187, Karo Tree,DPW Maintained,,2,37.73946963,-122.4939996
227167, Glossy Privet,DPW Maintained,,5,37.76394686,-122.4497993
242612, Chinese Elm,DPW Maintained,,7,37.74294053,-122.4183579
118180, Olive Tree,DPW Maintained,,7,37.77550903,-122.4930785
38, Jacaranda,DPW Maintained,,25,37.7675715,-122.430574
240246, Coast Live Oak,DPW Maintained,,1,37.73792957,-122.4215469
234164, Victorian Box,DPW Maintained,,3,37.74422314,-122.4104706
212276, Red Flowering Gum,DPW Maintained,,13,37.72470567,-122.4719944
119551, New Zealand Xmas Tree,DPW Maintained,,4,37.77738951,-122.4899942
131545, New Zealand Xmas Tree,DPW Maintained,,11,37.79324076,-122.4147408
139493, Karo Tree,DPW Maintained,,9,37.77699085,-122.4380972
101142, Jacaranda,DPW Maintained,,8,37.76069613,-122.3974226
221512, Shoestring Acacia,DPW Maintained,,7,37.749276,-122.4226184
11197, Pine Spp,DPW Maintained,,3,37.74439283,-122.458628
110517, Maidenhair Tree,Undocumented,,1,37.76739688,-122.4211339
183257, Ornamental Cherry,DPW Maintained,,2,37.7613744,-122.507144
197041, Ornamental Pear Tree 'Redspire',DPW Maintained,,6,37.72780829,-122.3951917
197895, Eugenia,DPW Maintained,,8,37.74118993,-122.4017223
214107, Indian Hawthorn  'Majestic Beau',DPW Maintained,,4,37.72123369,-122.4627355
141986, Red Maple,DPW Maintained,,3,37.77886577,-122.4293815
128731, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,11,37.79710577,-122.4048519
232014, Flaxleaf Paperbark,DPW Maintained,,24,37.74029389,-122.4164662
187082, Peppermint Willow,DPW Maintained,,12,37.73709307,-122.4937088
227933, Roundleaf sweetgum,DPW Maintained,,4,37.76004291,-122.4392186
111250, New Zealand Xmas Tree,DPW Maintained,,6,37.73810025,-122.5004466
16946, Laurel Fig,DPW Maintained,,18,37.77390276,-122.4295032
103530, Heath Melaleuca,DPW Maintained,,3,37.78556231,-122.4668459
193708, Cajeput,DPW Maintained,,5,37.76984949,-122.3959984
17927, Chinese Elm,DPW Maintained,,4,37.78768356,-122.4351991
178719, Cherry Plum,DPW Maintained,,6,37.72024975,-122.4261221
235659, Cherry Plum,DPW Maintained,,5,37.76876129,-122.4226108
101320, Indian Laurel Fig Tree 'Green Gem',Undocumented,,12,37.76931504,-122.4315059
